ei	numCTs	pathway_name	gene_symbol	numVariantsAssociatedToGene	gp_class_names	pli	geneDescription	year_initial	year_final	num_pmids_evid	numDiseasesAssociatedToGene	num_pmid_assoc	pathway_id	score	gene_ncbi	gene_ensembl	gene_type	number_chem_evidence	genep_str_ids	dsi	dpi	num_var_dis
0.5	0	Neuronal System,Signal Transduction	DLG2	56	Receptor	0.99975	discs large MAGUK scaffold protein 2	2005	2005	1	6	1	R-HSA-112316,R-HSA-162582	0.65	1740	ENSG00000150672	protein-coding	1	Q15700	0.54	0.91	0
0.7142857142857143	0		FMR1	17	Nucleic acid binding		fragile X messenger ribonucleoprotein 1	2009	2009	0	23	1		0.65	2332	ENSG00000102081	protein-coding	0	Q06787	0.43	0.91	0
1.0	0		MORC1	4		0.024736	MORC family CW-type zinc finger 1	2014	2014	0	2	1		0.65	27136	ENSG00000114487	protein-coding	0	Q86VD1	0.71	0.65	0
1.0	0	Neuronal System,Metabolism,Disease,Immune System,Metabolism of proteins,Vesicle-mediated transport,Protein localization,Sensory Perception	VAMP2	8		0.99957	vesicle associated membrane protein 2	2014	2014	1	4	1	R-HSA-112316,R-HSA-1430728,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-5653656,R-HSA-9609507,R-HSA-9709957	0.65	6844	ENSG00000220205	protein-coding	1	P63027	0.58	0.65	0
0.6666666666666666	0	Hemostasis,Metabolism,Sensory Perception	LRP8	10		0.40345	LDL receptor related protein 8	2010	2010	0	14	1	R-HSA-109582,R-HSA-1430728,R-HSA-9709957	0.65	7804	ENSG00000157193	protein-coding	0	Q14114	0.49	0.87	1
0.5	0		PAWR	4		4.1742E-4	pro-apoptotic WT1 regulator	2011	2011	0	7	1		0.65	5074	ENSG00000177425	protein-coding	0	Q96IZ0	0.52	0.91	0
1.0	0		CNP	8	Enzyme	0.9998	2',3'-cyclic nucleotide 3' phosphodiesterase	2011	2011	0	7	1		0.65	1267	ENSG00000173786	protein-coding	0	P09543	0.54	0.87	0
1.0	0	Signal Transduction,Disease,Gene expression (Transcription)	ESR2	17	Nuclear receptor	5.8401E-10	estrogen receptor 2	2007	2007	0	49	1	R-HSA-162582,R-HSA-1643685,R-HSA-74160	0.65	2100	ENSG00000140009	protein-coding	0	Q92731	0.39	0.91	3
1.0	0		MIR30E	0			microRNA 30e	2010	2010	0	8	1		0.65	407034	ENSG00000198974	ncRNA	0		0.55	0.87	0
1.0	0	Signal Transduction,Disease,Vesicle-mediated transport,Cellular responses to stimuli	GJA1	142	Cell-cell junction	0.96349	gap junction protein alpha 1	2008	2008	1	50	1	R-HSA-162582,R-HSA-1643685,R-HSA-5653656,R-HSA-8953897	0.65	2697	ENSG00000152661	protein-coding	2	P17302	0.37	0.91	0
1.0	0	Hemostasis,Signal Transduction,Disease,Metabolism of proteins,Vesicle-mediated transport	ARRB1	2	Enzyme modulator	0.1458	arrestin beta 1	2013	2013	2	4	1	R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-5653656	0.65	408	ENSG00000137486	protein-coding	2	P49407	0.52	0.96	0
1.0	0	Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Gene expression (Transcription)	SERPINE1	56	Enzyme modulator	0.03418	serpin family E member 1	2008	2008	0	64	1	R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-74160	0.65	5054	ENSG00000106366	protein-coding	0	P05121	0.34	0.96	0
1.0	0		CC2D1A	41		2.5728E-9	coiled-coil and C2 domain containing 1A	2010	2010	1	10	1		0.65	54862	ENSG00000132024	protein-coding	1	Q6P1N0	0.63	0.7	0
0.6666666666666666	0	Immune System,Gene expression (Transcription),Cellular responses to stimuli,Protein localization	CAT	5	Enzyme	1.6098E-8	catalase	2014	2014	2	95	1	R-HSA-168256,R-HSA-74160,R-HSA-8953897,R-HSA-9609507	0.65	847	ENSG00000121691	protein-coding	4	P04040	0.36	1.0	0
1.0	0	Extracellular matrix organization,Immune System	MMP8	1	Enzyme	9.6895E-23	matrix metallopeptidase 8	2013	2013	0	9	1	R-HSA-1474244,R-HSA-168256	0.65	4317	ENSG00000118113	protein-coding	0	P22894	0.44	0.91	0
0.8333333333333334	0	Vesicle-mediated transport	DTNBP1	17		2.4293E-10	dystrobrevin binding protein 1	2004	2011	0	14	5	R-HSA-5653656	0.6	84062	ENSG00000047579	protein-coding	0	Q96EV8	0.56	0.74	0
1.0	0	Signal Transduction	DRD3	13	G-protein coupled receptor	0.65555	dopamine receptor D3	2006	2014	2	29	5	R-HSA-162582	0.6	1814	ENSG00000151577	protein-coding	3	P35462	0.49	0.83	0
0.8571428571428571	0	Neuronal System,Developmental Biology,Signal Transduction	DLG4	351	Receptor	1.0	discs large MAGUK scaffold protein 4	2004	2011	0	23	4	R-HSA-112316,R-HSA-1266738,R-HSA-162582	0.6	1742	ENSG00000132535	protein-coding	0	P78352	0.53	0.87	0
0.75	0		DAOA	0		2.1649E-5	D-amino acid oxidase activator	2011	2014	1	11	4		0.6	267012	ENSG00000182346	protein-coding	1	P59103	0.63	0.57	0
1.0	0	Developmental Biology,Signal Transduction	ARTN	0	Signaling	0.06954	artemin	2008	2015	0	7	4	R-HSA-1266738,R-HSA-162582	0.6	9048	ENSG00000117407	protein-coding	0	Q5T4W7	0.59	0.83	0
0.8	0	Metabolism,Drug ADME	CYP2C9	4		1.1489E-20	cytochrome P450 family 2 subfamily C member 9	2007	2013	0	14	3	R-HSA-1430728,R-HSA-9748784	0.6	1559	ENSG00000138109	protein-coding	0	P11712	0.45	0.96	0
1.0	0	Metabolism	DBH	162		9.2071E-13	dopamine beta-hydroxylase	2002	2015	1	22	3	R-HSA-1430728	0.6	1621	ENSG00000123454	protein-coding	2	P09172	0.48	0.91	0
0.75	0	Neuronal System,Developmental Biology,Signal Transduction	DLG3	26			discs large MAGUK scaffold protein 3	2004	2008	0	12	3	R-HSA-112316,R-HSA-1266738,R-HSA-162582	0.6	1741	ENSG00000082458	protein-coding	0	Q92796	0.59	0.87	0
1.0	0	Immune System,Programmed Cell Death,Gene expression (Transcription)	APAF1	3		2.138E-12	apoptotic peptidase activating factor 1	2006	2010	0	10	2	R-HSA-168256,R-HSA-5357801,R-HSA-74160	0.6	317	ENSG00000120868	protein-coding	0	O14727	0.51	0.83	0
1.0	0	Signal Transduction	PROK2	12	Signaling	0.02337	prokineticin 2	2009	2010	0	23	2	R-HSA-162582	0.6	60675	ENSG00000163421	protein-coding	0	Q9HC23	0.5	0.91	0
1.0	0	Disease,Vesicle-mediated transport	CUX1	52	Transcription factor	1.0	cut like homeobox 1	2011	2013	0	11	2	R-HSA-1643685,R-HSA-5653656	0.6	1523	ENSG00000257923	protein-coding	0	P39880,Q13948	0.51	0.87	0
1.0	0	Hemostasis	EHD3	10	Enzyme modulator	0.6087	EH domain containing 3	2012	2014	0	4	2	R-HSA-109582	0.6	30845	ENSG00000013016	protein-coding	0	Q9NZN3	0.73	0.44	0
0.8333333333333334	0	Disease,Immune System,Metabolism of RNA,Cellular responses to stimuli	HSPA1A	4		0.27696	heat shock protein family A (Hsp70) member 1A	1999	2007	0	35	2	R-HSA-1643685,R-HSA-168256,R-HSA-8953854,R-HSA-8953897	0.6	3303	ENSG00000204389	protein-coding	0	P0DMV9,P0DMV8	0.37	0.91	1
1.0	0	Disease,Immune System,Metabolism of RNA,Cellular responses to stimuli	HSPA1B	3		0.0074976	heat shock protein family A (Hsp70) member 1B	1999	2007	0	26	2	R-HSA-1643685,R-HSA-168256,R-HSA-8953854,R-HSA-8953897	0.6	3304	ENSG00000204388	protein-coding	0	P0DMV9,P0DMV8	0.46	0.91	0
0.75	0		DCANP1	0		0.10358	dendritic cell associated nuclear protein 1	2010	2011	1	3	2		0.6	140947	ENSG00000251380	protein-coding	1	Q8TF63	0.82	0.26	0
1.0	0	Neuronal System	HTR3A	2	Ion channel	8.7803E-12	5-hydroxytryptamine receptor 3A	2006	2012	0	15	2	R-HSA-112316	0.6	3359	ENSG00000166736	protein-coding	0	P46098	0.51	0.87	0
1.0	0	Cell Cycle,Organelle biogenesis and maintenance,Autophagy	PCNT	401		1.5788E-84	pericentrin	2009	2010	0	14	2	R-HSA-1640170,R-HSA-1852241,R-HSA-9612973	0.6	5116	ENSG00000160299	protein-coding	0	O95613	0.52	0.83	0
1.0	0	Developmental Biology	RELN	990		1.0	reelin	2013	2013	0	35	2	R-HSA-1266738	0.6	5649	ENSG00000189056	protein-coding	0	P78509	0.45	0.91	0
1.0	0		TSNAX-DISC1	13			TSNAX-DISC1 readthrough (NMD candidate)	2010	2012	1	7	2		0.6	100303453	ENSG00000270106	ncRNA	1		0.82	0.04	0
1.0	0	Neuronal System	HTR3B	1	Ion channel	1.4356E-8	5-hydroxytryptamine receptor 3B	2006	2008	0	10	2	R-HSA-112316	0.6	9177	ENSG00000149305	protein-coding	0	O95264	0.62	0.57	0
1.0	0	Metabolism	KMO	0		0.14672	kynurenine 3-monooxygenase	2011	2012	2	6	2	R-HSA-1430728	0.6	8564	ENSG00000117009	protein-coding	5	O15229	0.59	0.87	0
1.0	0	Hemostasis,Signal Transduction	PDE11A	34		2.8434E-8	phosphodiesterase 11A	2006	2006	0	4	1	R-HSA-109582,R-HSA-162582	0.6	50940	ENSG00000128655	protein-coding	0	Q9HCR9	0.51	0.91	0
1.0	0	Disease,Immune System	TLR7	6			toll like receptor 7	2014	2014	0	10	1	R-HSA-1643685,R-HSA-168256	0.6	51284	ENSG00000196664	protein-coding	0	Q9NYK1	0.43	0.91	0
1.0	0	Metabolism	SAT1	0			spermidine/spermine N1-acetyltransferase 1	2009	2009	0	13	1	R-HSA-1430728	0.6	6303	ENSG00000130066	protein-coding	0	P21673	0.55	0.83	0
1.0	0	Signal Transduction,Transport of small molecules,Gene expression (Transcription)	SGK1	5	Kinase	0.0020197	serum/glucocorticoid regulated kinase 1	2012	2012	0	10	1	R-HSA-162582,R-HSA-382551,R-HSA-74160	0.6	6446	ENSG00000118515	protein-coding	0	O00141	0.48	0.91	0
1.0	0	Signal Transduction,Disease,Gene expression (Transcription)	HDAC5	8	Epigenetic regulator	1.0	histone deacetylase 5	2007	2007	0	12	1	R-HSA-162582,R-HSA-1643685,R-HSA-74160	0.6	10014	ENSG00000108840	protein-coding	0	Q9UQL6	0.53	0.87	0
1.0	0		FREM3	3		2.9683E-25	FRAS1 related extracellular matrix 3	2012	2012	0	4	1		0.6	166752	ENSG00000183090	protein-coding	0	P0C091	0.76	0.44	0
1.0	0		TEF	9	Nucleic acid binding	0.99624	TEF transcription factor, PAR bZIP family member	2014	2014	0	2	1		0.6	7008	ENSG00000167074	protein-coding	0	Q10587	0.65	0.61	0
